x[0] x[1] c P(w1|x) P(w2|x)
61.613000 40.084500 1 1.000000 0.000000
65.501700 19.343600 1 0.500000 0.500000
53.223500 31.201100 1 1.000000 0.000000
62.586500 23.465700 1 0.750000 0.250000
60.956300 33.642200 1 1.000000 0.000000
56.076900 22.796100 1 0.500000 0.500000
58.699200 35.879600 1 1.000000 0.000000
61.027900 38.872400 1 1.000000 0.000000
70.735200 50.542700 1 1.000000 0.000000
68.308300 27.670500 1 1.000000 0.000000
55.950300 4.339700 1 1.000000 0.000000
69.104800 19.924900 1 0.500000 0.500000
62.176200 46.255100 1 1.000000 0.000000
59.810800 17.134100 1 1.000000 0.000000
62.144200 41.531400 1 1.000000 0.000000
59.385100 31.488600 1 1.000000 0.000000
59.627600 47.240400 1 1.000000 0.000000
64.469100 6.469200 1 1.000000 0.000000
64.227100 27.627600 1 1.000000 0.000000
64.251600 15.505900 1 1.000000 0.000000
62.014500 64.896100 1 1.000000 0.000000
56.377500 39.902600 1 1.000000 0.000000
62.151700 46.547700 1 1.000000 0.000000
64.890700 17.301800 1 1.000000 0.000000
61.466700 24.376600 1 0.500000 0.500000
63.104100 26.730400 1 1.000000 0.000000
62.180700 43.181100 1 1.000000 0.000000
59.089700 26.665500 1 1.000000 0.000000
60.881600 38.418500 1 1.000000 0.000000
57.638200 5.378200 1 1.000000 0.000000
62.665200 25.753800 1 1.000000 0.000000
56.558800 20.117000 1 0.750000 0.250000
56.793400 11.075300 1 1.000000 0.000000
57.571500 36.095700 1 1.000000 0.000000
51.167100 33.383800 1 1.000000 0.000000
64.315100 30.401800 1 1.000000 0.000000
60.975600 13.995900 1 1.000000 0.000000
57.735200 43.529900 1 1.000000 0.000000
64.110900 34.202200 1 1.000000 0.000000
54.865500 26.411200 1 1.000000 0.000000
59.693300 30.274700 1 1.000000 0.000000
59.275700 26.856100 1 1.000000 0.000000
60.957600 8.997500 1 1.000000 0.000000
60.938600 26.572200 1 1.000000 0.000000
57.405400 20.023600 1 0.750000 0.250000
59.909800 18.249500 1 1.000000 0.000000
59.505400 16.123200 1 1.000000 0.000000
61.883100 23.597300 1 0.750000 0.250000
63.279800 5.968400 1 1.000000 0.000000
63.327800 41.570800 1 1.000000 0.000000
57.409000 36.240700 1 1.000000 0.000000
60.232100 29.759700 1 1.000000 0.000000
56.357600 29.582700 1 1.000000 0.000000
56.659500 20.422000 1 0.750000 0.250000
59.979500 42.224200 1 1.000000 0.000000
64.597900 28.401400 1 1.000000 0.000000
57.691000 21.425600 1 0.750000 0.250000
61.114100 46.216600 1 1.000000 0.000000
59.323200 27.302700 1 1.000000 0.000000
63.352100 22.931700 1 0.500000 0.500000
56.732800 26.475000 1 1.000000 0.000000
60.097700 19.824900 1 0.750000 0.250000
61.657600 16.558500 1 1.000000 0.000000
63.301800 60.312000 1 1.000000 0.000000
64.632600 49.866000 1 1.000000 0.000000
60.257800 33.690400 1 1.000000 0.000000
55.525200 14.914600 1 0.750000 0.250000
57.773100 19.614400 1 0.750000 0.250000
56.815300 27.881600 1 1.000000 0.000000
67.051400 39.497000 1 1.000000 0.000000
58.153200 14.015900 1 1.000000 0.000000
62.244200 2.041600 1 1.000000 0.000000
59.422700 12.610800 1 1.000000 0.000000
62.665800 34.002100 1 1.000000 0.000000
57.705500 34.696200 1 1.000000 0.000000
55.793200 35.420200 1 1.000000 0.000000
55.732900 28.436600 1 1.000000 0.000000
61.464600 32.204300 1 1.000000 0.000000
59.467900 24.286200 1 0.250000 0.750000
59.411800 40.344300 1 1.000000 0.000000
64.257900 13.659700 1 1.000000 0.000000
60.874800 35.460400 1 1.000000 0.000000
60.593400 19.815500 1 0.500000 0.500000
64.763100 25.981400 1 1.000000 0.000000
57.586600 36.633400 1 1.000000 0.000000
62.089900 42.469100 1 1.000000 0.000000
62.505300 16.588300 1 1.000000 0.000000
59.268900 45.127900 1 1.000000 0.000000
60.647000 37.921700 1 1.000000 0.000000
56.502500 29.185600 1 1.000000 0.000000
56.556100 27.657300 1 1.000000 0.000000
60.314600 27.388700 1 1.000000 0.000000
62.166800 26.362700 1 1.000000 0.000000
67.756500 30.276500 1 1.000000 0.000000
57.999300 30.615500 1 1.000000 0.000000
60.562000 39.912800 1 1.000000 0.000000
59.752500 48.323700 1 1.000000 0.000000
54.200900 35.603000 1 1.000000 0.000000
58.683100 27.483400 1 1.000000 0.000000
54.616000 37.502000 1 1.000000 0.000000
53.613000 32.521100 1 1.000000 0.000000
57.501700 27.335900 1 1.000000 0.000000
45.223500 30.300300 1 0.750000 0.250000
54.586500 28.366400 1 1.000000 0.000000
52.956300 30.910600 1 1.000000 0.000000
48.076900 28.199000 1 0.750000 0.250000
50.699200 31.469900 1 1.000000 0.000000
53.027900 32.218100 1 1.000000 0.000000
62.735200 35.135700 1 1.000000 0.000000
60.308300 29.417600 1 1.000000 0.000000
47.950300 23.584900 1 0.000000 1.000000
61.104800 27.481200 1 1.000000 0.000000
54.176200 34.063800 1 1.000000 0.000000
51.810800 26.783500 1 1.000000 0.000000
54.144200 32.882900 1 1.000000 0.000000
51.385100 30.372100 1 1.000000 0.000000
51.627600 34.310100 1 1.000000 0.000000
56.469100 24.117300 1 0.500000 0.500000
56.227100 29.406900 1 1.000000 0.000000
56.251600 26.376500 1 1.000000 0.000000
54.014500 38.724000 1 1.000000 0.000000
48.377500 32.475700 1 1.000000 0.000000
54.151700 34.136900 1 1.000000 0.000000
56.890700 26.825500 1 1.000000 0.000000
53.466700 28.594200 1 0.750000 0.250000
55.104100 29.182600 1 1.000000 0.000000
54.180700 33.295300 1 1.000000 0.000000
51.089700 29.166400 1 1.000000 0.000000
52.881600 32.104600 1 1.000000 0.000000
49.638200 23.844600 1 0.000000 1.000000
54.665200 28.938500 1 0.750000 0.250000
48.558800 27.529200 1 0.750000 0.250000
48.793400 25.268800 1 0.250000 0.750000
49.571500 31.523900 1 1.000000 0.000000
43.167100 30.846000 1 0.750000 0.250000
56.315100 30.100400 1 1.000000 0.000000
52.975600 25.999000 1 1.000000 0.000000
49.735200 33.382500 1 1.000000 0.000000
56.110900 31.050500 1 1.000000 0.000000
46.865500 29.102800 1 0.750000 0.250000
51.693300 30.068700 1 1.000000 0.000000
51.275700 29.214000 1 1.000000 0.000000
52.957600 24.749400 1 0.750000 0.250000
52.938600 29.143000 1 0.750000 0.250000
49.405400 27.505900 1 1.000000 0.000000
51.909800 27.062400 1 1.000000 0.000000
51.505400 26.530800 1 1.000000 0.000000
53.883100 28.399300 1 0.750000 0.250000
55.279800 23.992100 1 0.500000 0.500000
55.327800 32.892700 1 1.000000 0.000000
49.409000 31.560200 1 1.000000 0.000000
52.232100 29.939900 1 1.000000 0.000000
48.357600 29.895700 1 1.000000 0.000000
48.659500 27.605500 1 1.000000 0.000000
51.979500 33.056100 1 1.000000 0.000000
56.597900 29.600300 1 1.000000 0.000000
49.691000 27.856400 1 1.000000 0.000000
53.114100 34.054200 1 1.000000 0.000000
51.323200 29.325700 1 1.000000 0.000000
55.352100 28.232900 1 1.000000 0.000000
48.732800 29.118700 1 1.000000 0.000000
52.097700 27.456200 1 1.000000 0.000000
53.657600 26.639600 1 1.000000 0.000000
55.301800 37.578000 1 1.000000 0.000000
56.632600 34.966500 1 1.000000 0.000000
52.257800 30.922600 1 1.000000 0.000000
47.525200 26.228600 1 0.750000 0.250000
49.773100 27.403600 1 1.000000 0.000000
48.815300 29.470400 1 1.000000 0.000000
59.051400 32.374200 1 1.000000 0.000000
50.153200 26.004000 1 0.500000 0.500000
54.244200 23.010400 1 0.250000 0.750000
51.422700 25.652700 1 0.750000 0.250000
54.665800 31.000500 1 1.000000 0.000000
49.705500 31.174100 1 1.000000 0.000000
47.793200 31.355000 1 1.000000 0.000000
47.732900 29.609100 1 1.000000 0.000000
53.464600 30.551100 1 1.000000 0.000000
51.467900 28.571500 1 1.000000 0.000000
51.411800 32.586100 1 1.000000 0.000000
56.257900 25.914900 1 1.000000 0.000000
52.874800 31.365100 1 1.000000 0.000000
52.593400 27.453900 1 1.000000 0.000000
56.763100 28.995300 1 1.000000 0.000000
49.586600 31.658400 1 1.000000 0.000000
54.089900 33.117300 1 1.000000 0.000000
54.505300 26.647100 1 1.000000 0.000000
51.268900 33.782000 1 1.000000 0.000000
52.647000 31.980400 1 1.000000 0.000000
48.502500 29.796400 1 1.000000 0.000000
48.556100 29.414300 1 1.000000 0.000000
52.314600 29.347200 1 1.000000 0.000000
54.166800 29.090700 1 0.750000 0.250000
59.756500 30.069100 1 1.000000 0.000000
49.999300 30.153900 1 1.000000 0.000000
52.562000 32.478200 1 1.000000 0.000000
51.752500 34.580900 1 1.000000 0.000000
46.200900 31.400700 1 1.000000 0.000000
50.683100 29.370900 1 1.000000 0.000000
46.616000 31.875000 1 1.000000 0.000000
46.832300 22.239800 2 0.000000 1.000000
34.702300 19.154600 2 0.000000 1.000000
54.492200 23.234500 2 0.500000 0.500000
48.070600 24.030900 2 0.250000 0.750000
46.351700 24.573200 2 0.000000 1.000000
50.152500 19.926500 2 0.000000 1.000000
47.614100 23.348100 2 0.250000 0.750000
35.585100 22.301900 2 0.000000 1.000000
43.376600 24.478200 2 0.000000 1.000000
43.539500 23.608500 2 0.000000 1.000000
39.679900 24.693700 2 0.000000 1.000000
61.821000 21.604200 2 0.500000 0.500000
36.242700 21.558400 2 0.000000 1.000000
40.161800 25.023300 2 0.000000 1.000000
37.880000 15.629000 2 0.000000 1.000000
33.257900 20.486200 2 0.000000 1.000000
43.077600 18.188200 2 0.000000 1.000000
42.259300 20.852200 2 0.000000 1.000000
60.300700 23.946000 2 0.750000 0.250000
42.509800 24.477200 2 0.000000 1.000000
34.357900 18.955200 2 0.000000 1.000000
61.034600 20.586800 2 0.500000 0.500000
57.346800 22.411100 2 0.500000 0.500000
42.703700 21.124400 2 0.000000 1.000000
29.938400 22.905500 2 0.000000 1.000000
40.553700 23.199800 2 0.000000 1.000000
43.440600 19.210100 2 0.000000 1.000000
47.760700 21.469500 2 0.000000 1.000000
42.388400 15.603700 2 0.000000 1.000000
49.434200 25.436100 2 0.750000 0.250000
48.918900 20.112700 2 0.000000 1.000000
32.493200 18.388500 2 0.000000 1.000000
35.520400 21.238200 2 0.000000 1.000000
37.588900 17.714100 2 0.000000 1.000000
39.921800 21.937400 2 0.000000 1.000000
41.794200 20.318000 2 0.000000 1.000000
45.124700 28.533300 2 0.750000 0.250000
14.708200 25.415400 2 0.000000 1.000000
40.429900 14.509300 2 0.000000 1.000000
57.424500 23.324000 2 0.500000 0.500000
34.333000 17.805600 2 0.000000 1.000000
54.337300 21.234800 2 0.250000 0.750000
48.503200 22.493200 2 0.250000 0.750000
44.709900 24.243200 2 0.000000 1.000000
46.824500 21.180900 2 0.000000 1.000000
29.349400 26.728900 2 0.000000 1.000000
44.154600 20.557200 2 0.000000 1.000000
61.039500 22.982500 2 0.500000 0.500000
45.983500 23.994200 2 0.000000 1.000000
45.413700 22.255600 2 0.000000 1.000000
37.658300 24.642900 2 0.000000 1.000000
44.691900 22.969600 2 0.000000 1.000000
47.323500 19.647600 2 0.000000 1.000000
49.263900 16.583900 2 0.000000 1.000000
41.271900 27.575800 2 0.000000 1.000000
42.635500 20.186400 2 0.000000 1.000000
65.236900 22.310100 2 0.750000 0.250000
22.416500 23.689500 2 0.000000 1.000000
67.294500 22.340800 2 0.750000 0.250000
48.375600 19.285800 2 0.000000 1.000000
55.000600 20.596900 2 0.250000 0.750000
28.358400 21.625300 2 0.000000 1.000000
39.099700 26.436900 2 0.000000 1.000000
42.219400 19.417600 2 0.000000 1.000000
49.227200 24.354000 2 0.500000 0.500000
28.298000 22.925900 2 0.000000 1.000000
49.716300 21.298400 2 0.000000 1.000000
32.871500 18.829100 2 0.000000 1.000000
45.661900 21.147600 2 0.000000 1.000000
51.523600 21.739900 2 0.250000 0.750000
48.270600 17.591800 2 0.000000 1.000000
55.826300 22.576500 2 0.500000 0.500000
55.060800 19.533100 2 0.000000 1.000000
38.490900 21.717300 2 0.000000 1.000000
47.570600 23.008600 2 0.250000 0.750000
35.556200 19.286000 2 0.000000 1.000000
31.782100 21.135200 2 0.000000 1.000000
54.248300 23.050200 2 0.500000 0.500000
45.000500 16.492400 2 0.000000 1.000000
44.450800 25.107900 2 0.000000 1.000000
54.111300 29.273400 2 1.000000 0.000000
50.945800 24.878200 2 0.500000 0.500000
48.502000 21.052700 2 0.000000 1.000000
57.502500 23.285900 2 0.500000 0.500000
54.297900 18.892000 2 0.000000 1.000000
47.397600 27.633600 2 1.000000 0.000000
38.096400 24.822100 2 0.000000 1.000000
38.484500 24.362000 2 0.000000 1.000000
56.921000 19.372400 2 1.000000 0.000000
28.881700 22.959800 2 0.000000 1.000000
44.755400 20.325100 2 0.000000 1.000000
25.511500 21.065700 2 0.000000 1.000000
55.205000 20.290000 2 0.250000 0.750000
53.617200 18.922800 2 0.000000 1.000000
45.011600 19.273800 2 0.000000 1.000000
44.291600 21.370300 2 0.000000 1.000000
20.137200 16.903400 2 0.000000 1.000000
50.811700 23.822800 2 0.500000 0.500000
23.075700 21.646600 2 0.000000 1.000000
21.807200 24.097000 2 0.000000 1.000000
